kp_name,sr_name,espn_name,KenPomRank,KenPomVal,SRS,o_eff,d_eff,ppg,papg,BPIrank,BPIval,Pace,Three_Par,True_Shoot,Tov,Opp_Three_Par,Opp_True_Shoot,Opp_Tov,record_date
Abilene Christian,Abilene Christian,Abilene Christian,124,+4.33,9.85,97.43,81.63,74.0,55.8,139,1.0,74.1,.362,.527,17.8,.330,.473,28.8,2020-12-19 06:31:43.252680
Air Force,Air Force,Air Force,266,-8.60,-13.07,85.35,103.84,56.0,64.6,321,-7.1,64.1,.451,.533,22.0,.413,.534,17.7,2020-12-19 06:31:43.252680
Akron,Akron,Akron,145,+1.67,0.00,98.23,98.23,85.5,65.0,119,2.6,72.8,.571,.597,15.9,.270,.474,14.4,2020-12-19 06:31:43.252680
Alabama,Alabama,Alabama,52,+15.68,12.65,110.41,90.98,76.3,71.3,69,5.5,73.9,.468,.511,14.2,.428,.519,18.2,2020-12-19 06:31:43.252680
Alabama A&M,Alabama A&M,Alabama A&M,339,-17.53,1.36,90.90,90.03,78.0,76.0,319,-7.1,79.6,.345,.595,22.5,.343,.484,15.1,2020-12-19 06:31:43.252680
Alabama St.,Alabama State,Alabama State,352,-21.69,,,,,,344,-11.7,,,,,,,,2020-12-19 06:31:43.252680
Albany,Albany (NY),Albany,296,-10.71,,,,,,164,-0.4,,,,,,,,2020-12-19 06:31:43.252680
Alcorn St.,Alcorn State,Alcorn State,341,-17.83,-35.51,74.46,116.53,50.0,99.0,290,-5.3,77.1,.254,.364,25.9,.259,.647,12.6,2020-12-19 06:31:43.252680
American,American,American,258,-7.89,,,,,,259,-4.1,,,,,,,,2020-12-19 06:31:43.252680
Appalachian St.,Appalachian State,Appalachian State,194,-3.28,-0.40,93.09,95.30,75.8,55.4,158,0.2,69.2,.418,.553,17.2,.377,.439,18.4,2020-12-19 06:31:43.252680
Arizona,Arizona,Arizona,44,+16.63,10.08,107.74,91.65,78.8,59.2,55,6.3,70.8,.347,.570,16.7,.379,.461,18.5,2020-12-19 06:31:43.252680
Arizona St.,Arizona State,Arizona State,58,+13.66,4.01,103.79,96.26,77.1,76.6,49,6.7,75.3,.403,.549,14.2,.398,.565,20.3,2020-12-19 06:31:43.252680
Arkansas,Arkansas,Arkansas,33,+17.64,24.33,116.11,82.88,91.3,57.5,28,8.7,74.7,.437,.587,12.4,.352,.419,17.3,2020-12-19 06:31:43.252680
Arkansas Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,351,-21.46,-21.44,88.44,115.76,58.5,86.5,337,-9.1,71.5,.312,.452,19.9,.360,.608,13.4,2020-12-19 06:31:43.252680
Arkansas St.,Arkansas State,Arkansas State,280,-9.68,-17.05,82.96,105.07,73.5,69.2,316,-7.0,72.6,.249,.539,16.5,.342,.495,16.4,2020-12-19 06:31:43.252680
Army,Army,Army,207,-4.38,8.03,103.22,91.93,76.4,59.6,237,-3.2,71.7,.461,.586,17.5,.351,.451,16.2,2020-12-19 06:31:43.252680
Auburn,Auburn,Auburn,74,+10.84,2.47,99.36,94.03,77.0,76.5,127,1.8,74.4,.519,.530,18.8,.369,.533,17.8,2020-12-19 06:31:43.252680
Austin Peay,Austin Peay,Austin Peay,187,-2.17,-8.75,99.72,111.56,74.6,68.7,166,-0.4,72.6,.330,.541,19.5,.317,.536,22.6,2020-12-19 06:31:43.252680
BYU,Brigham Young,BYU,70,+11.62,10.12,103.71,88.14,77.1,65.7,34,8.2,72.5,.439,.572,18.4,.294,.481,16.7,2020-12-19 06:31:43.252680
Ball St.,Ball State,Ball State,132,+2.92,-2.16,98.79,101.31,73.4,72.0,163,-0.3,69.6,.399,.513,13.1,.347,.521,16.5,2020-12-19 06:31:43.252680
Baylor,Baylor,Baylor,2,+29.12,26.51,130.70,93.78,90.8,63.8,3,13.2,73.7,.356,.606,15.0,.324,.511,24.3,2020-12-19 06:31:43.252680
Bellarmine,Bellarmine,Bellarmine,260,-8.32,-7.25,94.30,103.44,68.7,72.0,343,-11.0,67.7,.250,.549,18.3,.581,.605,20.1,2020-12-19 06:31:43.252680
Belmont,Belmont,Belmont,106,+6.50,-4.52,97.22,102.89,80.0,69.1,126,2.0,74.2,.447,.579,16.5,.384,.495,18.3,2020-12-19 06:31:43.252680
Binghamton,Binghamton,Binghamton,342,-18.09,-2.40,96.83,98.53,63.3,70.3,267,-4.4,67.2,.471,.498,20.4,.309,.519,14.3,2020-12-19 06:31:43.252680
Boise St.,Boise State,Boise State,90,+8.36,18.48,110.86,83.48,74.8,60.2,88,4.4,72.7,.365,.521,14.3,.360,.484,22.6,2020-12-19 06:31:43.252680
Boston College,Boston College,Boston College,102,+6.81,0.59,103.63,101.33,73.7,85.5,104,3.2,75.5,.469,.535,18.4,.342,.597,16.4,2020-12-19 06:31:43.252680
Boston University,Boston University,Boston University,181,-1.81,,,,,,144,0.8,,,,,,,,2020-12-19 06:31:43.252680
Bowling Green,Bowling Green State,Bowling Green,151,+0.75,1.64,110.29,108.34,83.9,77.9,156,0.2,74.1,.363,.557,13.6,.383,.556,17.9,2020-12-19 06:31:43.252680
Bradley,Bradley,Bradley,116,+5.33,5.12,95.87,87.36,78.9,58.9,82,4.7,70.4,.372,.552,15.4,.399,.432,16.3,2020-12-19 06:31:43.252680
Bryant,Bryant,Bryant,219,-5.23,-1.62,105.54,107.66,92.9,79.6,258,-3.9,81.4,.388,.604,15.5,.349,.492,15.7,2020-12-19 06:31:43.252680
Bucknell,Bucknell,Bucknell,242,-6.94,,,,,,174,-0.6,,,,,,,,2020-12-19 06:31:43.252680
Buffalo,Buffalo,Buffalo,123,+4.63,4.11,95.75,89.94,79.4,71.0,122,2.5,75.1,.311,.542,15.7,.365,.491,14.2,2020-12-19 06:31:43.252680
Butler,Butler,Butler,64,+12.52,-1.55,99.81,101.32,66.0,73.5,71,5.5,66.3,.343,.529,14.4,.380,.597,13.4,2020-12-19 06:31:43.252680
Cal Baptist,California Baptist,California Baptist,274,-9.09,-0.89,108.28,107.70,90.6,72.0,226,-2.8,73.8,.500,.605,15.6,.362,.497,17.3,2020-12-19 06:31:43.252680
Cal Poly,Cal Poly,Cal Poly,325,-13.46,-19.73,90.35,115.41,73.0,70.2,297,-5.5,74.6,.328,.522,16.3,.329,.514,18.4,2020-12-19 06:31:43.252680
Cal St. Bakersfield,Cal State Bakersfield,CSU Bakersfield,203,-3.74,-13.54,94.64,113.51,69.3,61.8,160,-0.2,68.2,.212,.518,18.1,.449,.503,19.6,2020-12-19 06:31:43.252680
Cal St. Fullerton,Cal State Fullerton,CSU Fullerton,327,-13.73,,,,94.0,70.0,254,-3.8,78.2,.373,.651,14.2,.492,.492,20.2,2020-12-19 06:31:43.252680
