Team,KenPomRank,KenPomVal,BPIrank,BPIval,SRS,o_eff,d_eff,ppg,papg,Pace,Three_Par,True_Shoot,Tov,Opp_Three_Par,Opp_True_Shoot,Opp_Tov,record_date
"['Abilene Christian', 'Abilene Christian', 'Abilene Christian']",156,+0.05,161,0.0,,,,,,,,,,,,,2020-11-25 08:34:57.970227
"['Air Force', 'Air Force', 'Air Force']",224,-5.70,313,-6.5,,,,,,,,,,,,,2020-11-25 08:34:57.970263
"['Akron', 'Akron', 'Akron']",144,+1.64,125,2.1,,,,,,,,,,,,,2020-11-25 08:34:57.970221
"['Alabama', 'Alabama', 'Alabama']",46,+15.68,72,5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970170
"['Alabama A&M', 'Alabama A&M', 'Alabama A&M']",343,-18.70,328,-7.6,,,,,,,,,,,,,2020-11-25 08:34:57.970324
"['Alabama St.', 'Alabama State', 'Alabama State']",351,-21.70,344,-11.7,,,,,,,,,,,,,2020-11-25 08:34:57.970329
"['Albany', 'Albany', 'Albany (NY)']",301,-10.71,165,-0.4,,,,,,,,,,,,,2020-11-25 08:34:57.970303
"['Alcorn St.', 'Alcorn State', 'Alcorn State']",336,-16.88,270,-4.3,,,,,,,,,,,,,2020-11-25 08:34:57.970321
"['American', 'American', 'American']",259,-7.90,265,-4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970281
"['Appalachian St.', 'Appalachian State', 'Appalachian State']",192,-2.91,183,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970246
"['Arizona', 'Arizona', 'Arizona']",38,+16.99,68,5.3,,,,,,,,,,,,,2020-11-25 08:34:57.970166
"['Arizona St.', 'Arizona State', 'Arizona State']",23,+19.52,29,8.0,,,,,,,,,,,,,2020-11-25 08:34:57.970158
"['Arkansas', 'Arkansas', 'Arkansas']",54,+14.91,50,6.5,,,,,,,,,,,,,2020-11-25 08:34:57.970174
"['Arkansas Pine Bluff', 'Arkansas-Pine Bluff', 'Arkansas-Pine Bluff']",353,-22.28,317,-6.7,,,,,,,,,,,,,2020-11-25 08:34:57.970330
"['Arkansas St.', 'Arkansas State', 'Arkansas State']",244,-7.18,325,-7.2,,,,,,,,,,,,,2020-11-25 08:34:57.970273
"['Army', 'Army', 'Army']",270,-8.57,310,-6.4,,,,,,,,,,,,,2020-11-25 08:34:57.970287
"['Auburn', 'Auburn', 'Auburn']",66,+12.74,134,1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970181
"['Austin Peay', 'Austin Peay', 'Austin Peay']",139,+1.95,142,0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970219
"['BYU', 'BYU', 'Brigham Young']",88,+8.89,24,8.4,,,,,,,,,,,,,2020-11-25 08:34:57.970192
"['Ball St.', 'Ball State', 'Ball State']",129,+3.48,168,-0.5,,,,,,,,,,,,,2020-11-25 08:34:57.970213
"['Baylor', 'Baylor', 'Baylor']",3,+26.24,3,11.6,,,,,,,,,,,,,2020-11-25 08:34:57.970147
"['Bellarmine', 'Bellarmine', 'Bellarmine']",289,-10.09,345,-12.3,,,,,,,,,,,,,2020-11-25 08:34:57.970296
"['Belmont', 'Belmont', 'Belmont']",96,+7.65,128,2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970196
['Bethune Cookman'],349,-20.66,,,,,,,,,,,,,,,2020-11-25 08:34:57.970328
"['Binghamton', 'Binghamton', 'Binghamton']",341,-18.38,253,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970323
"['Boise St.', 'Boise State', 'Boise State']",105,+6.15,104,3.2,,,,,,,,,,,,,2020-11-25 08:34:57.970201
"['Boston College', 'Boston College', 'Boston College']",86,+9.46,87,4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970191
"['Boston University', 'Boston University', 'Boston University']",177,-1.82,144,0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970239
"['Bowling Green', 'Bowling Green', 'Bowling Green State']",164,-0.88,156,0.1,,,,,,,,,,,,,2020-11-25 08:34:57.970232
"['Bradley', 'Bradley', 'Bradley']",126,+3.54,99,3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970212
"['Brown', 'Brown']",225,-5.83,,,,,,,,,,,,,,,2020-11-25 08:34:57.970263
"['Bryant', 'Bryant', 'Bryant']",311,-11.44,320,-7.0,,,,,,,,,,,,,2020-11-25 08:34:57.970308
"['Bucknell', 'Bucknell', 'Bucknell']",240,-6.95,172,-0.6,,,,,,,,,,,,,2020-11-25 08:34:57.970271
"['Buffalo', 'Buffalo', 'Buffalo']",121,+4.19,113,2.7,,,,,,,,,,,,,2020-11-25 08:34:57.970209
"['Butler', 'Butler', 'Butler']",57,+14.66,60,6.0,,,,,,,,,,,,,2020-11-25 08:34:57.970176
"['Cal Baptist', 'California Baptist', 'California Baptist']",300,-10.66,256,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970302
"['Cal Poly', 'Cal Poly', 'Cal Poly']",324,-13.31,283,-4.8,,,,,,,,,,,,,2020-11-25 08:34:57.970314
"['Cal St. Bakersfield', 'CSU Bakersfield', 'Cal State Bakersfield']",193,-3.01,163,-0.3,,,,,,,,,,,,,2020-11-25 08:34:57.970247
"['Cal St. Fullerton', 'CSU Fullerton', 'Cal State Fullerton']",326,-13.74,252,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970315
"['Cal St. Northridge', 'CSU Northridge', 'Cal State Northridge']",317,-12.09,178,-0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970311
"['California', 'California', 'University of California']",118,+4.48,91,3.9,,,,,,,,,,,,,2020-11-25 08:34:57.970208
"['Campbell', 'Campbell', 'Campbell']",253,-7.59,225,-2.6,,,,,,,,,,,,,2020-11-25 08:34:57.970278
"['Canisius', 'Canisius', 'Canisius']",223,-5.69,162,-0.1,,,,,,,,,,,,,2020-11-25 08:34:57.970262
"['Central Arkansas', 'Central Arkansas', 'Central Arkansas']",256,-7.78,228,-2.7,,,,,,,,,,,,,2020-11-25 08:34:57.970279
"['Central Connecticut', 'Central Connecticut', 'Central Connecticut State']",335,-16.38,314,-6.5,,,,,,,,,,,,,2020-11-25 08:34:57.970320
"['Central Michigan', 'Central Michigan', 'Central Michigan']",222,-5.47,218,-2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970262
"['Charleston', 'Charleston', 'College of Charleston']",176,-1.76,121,2.3,,,,,,,,,,,,,2020-11-25 08:34:57.970238
"['Charleston Southern', 'Charleston Southern', 'Charleston Southern']",261,-8.19,288,-5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970282
"['Charlotte', 'Charlotte', 'Charlotte']",172,-1.54,171,-0.6,,,,,,,,,,,,,2020-11-25 08:34:57.970236
"['Chattanooga', 'Chattanooga', 'Chattanooga']",209,-3.97,157,0.1,,,,,,,,,,,,,2020-11-25 08:34:57.970255
"['Chicago St.', 'Chicago State', 'Chicago State']",354,-23.71,346,-12.5,,,,,,,,,,,,,2020-11-25 08:34:57.970330
"['Cincinnati', 'Cincinnati', 'Cincinnati']",60,+14.30,73,5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970178
"['Clemson', 'Clemson', 'Clemson']",40,+16.70,38,7.0,,,,,,,,,,,,,2020-11-25 08:34:57.970167
"['Cleveland St.', 'Cleveland State', 'Cleveland State']",213,-5.01,257,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970257
"['Coastal Carolina', 'Coastal Carolina', 'Coastal Carolina']",169,-1.30,210,-2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970234
"['Colgate', 'Colgate', 'Colgate']",145,+1.53,136,1.3,,,,,,,,,,,,,2020-11-25 08:34:57.970222
"['Colorado', 'Colorado', 'Colorado']",62,+14.01,41,6.9,,,,,,,,,,,,,2020-11-25 08:34:57.970179
"['Colorado St.', 'Colorado State', 'Colorado State']",116,+4.65,116,2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970207
"['Columbia', 'Columbia']",281,-9.38,,,,,,,,,,,,,,,2020-11-25 08:34:57.970292
"['Connecticut', 'UConn', 'Connecticut']",43,+16.26,32,7.5,,,,,,,,,,,,,2020-11-25 08:34:57.970169
"['Coppin St.', 'Coppin State', 'Coppin State']",332,-15.75,291,-5.1,,,,,,,,,,,,,2020-11-25 08:34:57.970318
"['Cornell', 'Cornell']",198,-3.33,,,,,,,,,,,,,,,2020-11-25 08:34:57.970249
"['Creighton', 'Creighton', 'Creighton']",14,+21.17,10,10.5,,,,,,,,,,,,,2020-11-25 08:34:57.970153
"['Dartmouth', 'Dartmouth']",275,-8.83,,,,,,,,,,,,,,,2020-11-25 08:34:57.970289
"['Davidson', 'Davidson', 'Davidson']",81,+10.04,36,7.1,,,,,,,,,,,,,2020-11-25 08:34:57.970189
"['Dayton', 'Dayton', 'Dayton']",49,+15.14,70,5.2,,,,,,,,,,,,,2020-11-25 08:34:57.970172
"['DePaul', 'DePaul', 'DePaul']",85,+9.52,74,5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970191
"['Delaware', 'Delaware', 'Delaware']",221,-5.37,240,-3.2,,,,,,,,,,,,,2020-11-25 08:34:57.970261
"['Delaware St.', 'Delaware State', 'Delaware State']",350,-21.33,337,-8.9,,,,,,,,,,,,,2020-11-25 08:34:57.970328
"['Denver', 'Denver', 'Denver']",294,-10.32,312,-6.5,,,,,,,,,,,,,2020-11-25 08:34:57.970299
"['Detroit', 'Detroit Mercy', 'Detroit Mercy']",218,-5.14,158,0.1,,,,,,,,,,,,,2020-11-25 08:34:57.970260
"['Dixie St.', 'Dixie State', 'Dixie State']",321,-12.83,335,-8.8,,,,,,,,,,,,,2020-11-25 08:34:57.970313
"['Drake', 'Drake', 'Drake']",158,-0.28,124,2.1,,,,,,,,,,,,,2020-11-25 08:34:57.970228
"['Drexel', 'Drexel', 'Drexel']",162,-0.68,174,-0.7,,,,,,,,,,,,,2020-11-25 08:34:57.970231
"['Duke', 'Duke', 'Duke']",2,+26.31,8,10.8,,,,,,,,,,,,,2020-11-25 08:34:57.970147
"['Duquesne', 'Duquesne', 'Duquesne']",82,+9.98,44,6.8,,,,,,,,,,,,,2020-11-25 08:34:57.970189
"['East Carolina', 'East Carolina', 'East Carolina']",123,+3.86,131,1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970210
"['East Tennessee St.', 'East Tennessee State', 'East Tennessee State']",163,-0.74,186,-1.2,,,,,,,,,,,,,2020-11-25 08:34:57.970231
"['Eastern Illinois', 'Eastern Illinois', 'Eastern Illinois']",167,-1.08,140,1.0,,,,,,,,,,,,,2020-11-25 08:34:57.970233
"['Eastern Kentucky', 'Eastern Kentucky', 'Eastern Kentucky']",219,-5.20,139,1.0,,,,,,,,,,,,,2020-11-25 08:34:57.970260
"['Eastern Michigan', 'Eastern Michigan', 'Eastern Michigan']",155,+0.25,173,-0.7,,,,,,,,,,,,,2020-11-25 08:34:57.970227
"['Eastern Washington', 'Eastern Washington', 'Eastern Washington']",143,+1.73,169,-0.5,,,,,,,,,,,,,2020-11-25 08:34:57.970221
"['Elon', 'Elon', 'Elon']",205,-3.78,185,-1.1,,,,,,,,,,,,,2020-11-25 08:34:57.970253
"['Evansville', 'Evansville', 'Evansville']",316,-11.82,309,-6.2,,,,,,,,,,,,,2020-11-25 08:34:57.970310
"['FIU', 'Florida International', 'Florida International']",195,-3.12,188,-1.2,,,,,,,,,,,,,2020-11-25 08:34:57.970248
"['Fairfield', 'Fairfield', 'Fairfield']",257,-7.82,217,-2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970280
"['Fairleigh Dickinson', 'Fairleigh Dickinson', 'Fairleigh Dickinson']",230,-6.02,179,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970266
"['Florida', 'Florida', 'Florida']",24,+19.48,15,9.5,,,,,,,,,,,,,2020-11-25 08:34:57.970159
"['Florida A&M', 'Florida A&M', 'Florida A&M']",322,-12.83,336,-8.9,,,,,,,,,,,,,2020-11-25 08:34:57.970313
"['Florida Atlantic', 'Florida Atlantic', 'Florida Atlantic']",185,-2.74,296,-5.3,,,,,,,,,,,,,2020-11-25 08:34:57.970243
"['Florida Gulf Coast', 'Florida Gulf Coast', 'Florida Gulf Coast']",255,-7.64,236,-3.0,,,,,,,,,,,,,2020-11-25 08:34:57.970279
"['Florida St.', 'Florida State', 'Florida State']",18,+20.02,51,6.4,,,,,,,,,,,,,2020-11-25 08:34:57.970156
"['Fordham', 'Fordham', 'Fordham']",178,-2.12,239,-3.1,,,,,,,,,,,,,2020-11-25 08:34:57.970239
"['Fresno St.', 'Fresno State', 'Fresno State']",151,+0.66,154,0.2,,,,,,,,,,,,,2020-11-25 08:34:57.970225
"['Furman', 'Furman', 'Furman']",78,+10.57,106,3.1,,,,,,,,,,,,,2020-11-25 08:34:57.970187
"['Gardner Webb', 'Gardner-Webb', 'Gardner-Webb']",248,-7.33,208,-2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970275
"['George Mason', 'George Mason', 'George Mason']",110,+5.69,115,2.5,,,,,,,,,,,,,2020-11-25 08:34:57.970204
"['George Washington', 'George Washington', 'George Washington']",206,-3.81,143,0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970254
"['Georgetown', 'Georgetown', 'Georgetown']",87,+9.07,102,3.3,,,,,,,,,,,,,2020-11-25 08:34:57.970192
"['Georgia', 'Georgia', 'Georgia']",95,+8.01,88,4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970196
"['Georgia Southern', 'Georgia Southern', 'Georgia Southern']",212,-4.38,300,-5.6,,,,,,,,,,,,,2020-11-25 08:34:57.970257
"['Georgia St.', 'Georgia State', 'Georgia State']",108,+5.96,97,3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970203
"['Georgia Tech', 'Georgia Tech', 'Georgia Tech']",72,+11.32,71,5.2,,,,,,,,,,,,,2020-11-25 08:34:57.970184
"['Gonzaga', 'Gonzaga', 'Gonzaga']",1,+27.89,4,11.2,,,,,,,,,,,,,2020-11-25 08:34:57.970138
"['Grambling St.', 'Grambling', 'Grambling']",330,-14.73,286,-5.0,,,,,,,,,,,,,2020-11-25 08:34:57.970317
"['Grand Canyon', 'Grand Canyon', 'Grand Canyon']",165,-0.95,103,3.2,,,,,,,,,,,,,2020-11-25 08:34:57.970232
"['Green Bay', 'Green Bay', 'Green Bay']",268,-8.49,329,-7.7,,,,,,,,,,,,,2020-11-25 08:34:57.970286
"['Hampton', 'Hampton', 'Hampton']",337,-16.91,301,-5.6,,,,,,,,,,,,,2020-11-25 08:34:57.970321
"['Hartford', 'Hartford', 'Hartford']",307,-11.22,269,-4.1,,,,,,,,,,,,,2020-11-25 08:34:57.970306
"['Harvard', 'Harvard']",154,+0.55,,,,,,,,,,,,,,,2020-11-25 08:34:57.970226
"['Hawaii', ""Hawai'i"", 'Hawaii']",231,-6.13,197,-1.6,,,,,,,,,,,,,2020-11-25 08:34:57.970266
"['High Point', 'High Point']",310,-11.36,,,,,,,,,,,,,,,2020-11-25 08:34:57.970307
"['Hofstra', 'Hofstra', 'Hofstra']",153,+0.59,126,2.0,,,,,,,,,,,,,2020-11-25 08:34:57.970226
"['Holy Cross', 'Holy Cross', 'Holy Cross']",346,-19.74,331,-7.8,,,,,,,,,,,,,2020-11-25 08:34:57.970326
"['Houston', 'Houston', 'Houston']",21,+19.73,16,9.3,,,,,,,,,,,,,2020-11-25 08:34:57.970157
"['Houston Baptist', 'Houston Baptist', 'Houston Baptist']",347,-20.14,319,-6.9,,,,,,,,,,,,,2020-11-25 08:34:57.970326
"['Howard', 'Howard', 'Howard']",293,-10.23,274,-4.4,,,,,,,,,,,,,2020-11-25 08:34:57.970298
"['IUPUI', 'IUPUI', 'IUPUI']",262,-8.20,280,-4.6,,,,,,,,,,,,,2020-11-25 08:34:57.970282
"['Idaho', 'Idaho', 'Idaho']",339,-17.23,327,-7.4,,,,,,,,,,,,,2020-11-25 08:34:57.970322
"['Idaho St.', 'Idaho State', 'Idaho State']",302,-10.81,289,-5.1,,,,,,,,,,,,,2020-11-25 08:34:57.970303
"['Illinois', 'Illinois', 'Illinois']",17,+20.03,25,8.3,,,,,,,,,,,,,2020-11-25 08:34:57.970155
"['Illinois Chicago', 'UIC', 'Illinois-Chicago']",265,-8.37,279,-4.6,,,,,,,,,,,,,2020-11-25 08:34:57.970284
"['Illinois St.', 'Illinois State', 'Illinois State']",239,-6.83,248,-3.4,,,,,,,,,,,,,2020-11-25 08:34:57.970270
"['Incarnate Word', 'Incarnate Word', 'Incarnate Word']",345,-19.69,332,-7.9,,,,,,,,,,,,,2020-11-25 08:34:57.970325
"['Indiana', 'Indiana', 'Indiana']",26,+18.96,31,7.7,,,,,,,,,,,,,2020-11-25 08:34:57.970160
"['Indiana St.', 'Indiana State', 'Indiana State']",135,+2.28,181,-0.9,,,,,,,,,,,,,2020-11-25 08:34:57.970217
"['Iona', 'Iona', 'Iona']",263,-8.26,219,-2.4,,,,,,,,,,,,,2020-11-25 08:34:57.970283
"['Iowa', 'Iowa', 'Iowa']",13,+21.23,2,11.8,,,,,,,,,,,,,2020-11-25 08:34:57.970153
"['Iowa St.', 'Iowa State', 'Iowa State']",67,+12.72,35,7.2,,,,,,,,,,,,,2020-11-25 08:34:57.970181
"['Jackson St.', 'Jackson State', 'Jackson State']",308,-11.24,233,-2.9,,,,,,,,,,,,,2020-11-25 08:34:57.970306
"['Jacksonville', 'Jacksonville', 'Jacksonville']",315,-11.75,251,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970310
"['Jacksonville St.', 'Jacksonville State', 'Jacksonville State']",304,-11.06,276,-4.5,,,,,,,,,,,,,2020-11-25 08:34:57.970304
"['James Madison', 'James Madison', 'James Madison']",272,-8.64,145,0.8,,,,,,,,,,,,,2020-11-25 08:34:57.970288
"['Kansas', 'Kansas', 'Kansas']",5,+24.32,9,10.6,,,,,,,,,,,,,2020-11-25 08:34:57.970149
"['Kansas St.', 'Kansas State', 'Kansas State']",114,+5.26,111,2.8,,,,,,,,,,,,,2020-11-25 08:34:57.970206
"['Kennesaw St.', 'Kennesaw State', 'Kennesaw State']",352,-22.01,340,-10.3,,,,,,,,,,,,,2020-11-25 08:34:57.970329
"['Kent St.', 'Kent State', 'Kent State']",174,-1.68,259,-3.7,,,,,,,,,,,,,2020-11-25 08:34:57.970237
"['Kentucky', 'Kentucky', 'Kentucky']",12,+21.24,55,6.3,,,,,,,,,,,,,2020-11-25 08:34:57.970152
"['LIU', 'Long Island University', 'Long Island University']",282,-9.41,254,-3.5,,,,,,,,,,,,,2020-11-25 08:34:57.970293
"['LSU', 'LSU', 'Louisiana State']",37,+17.40,26,8.1,,,,,,,,,,,,,2020-11-25 08:34:57.970165
"['La Salle', 'La Salle', 'La Salle']",150,+1.05,153,0.3,,,,,,,,,,,,,2020-11-25 08:34:57.970224
"['Lafayette', 'Lafayette', 'Lafayette']",226,-5.84,201,-1.7,,,,,,,,,,,,,2020-11-25 08:34:57.970264
"['Lamar', 'Lamar', 'Lamar']",245,-7.21,238,-3.1,,,,,,,,,,,,,2020-11-25 08:34:57.970274
"['Lehigh', 'Lehigh', 'Lehigh']",297,-10.52,321,-7.1,,,,,,,,,,,,,2020-11-25 08:34:57.970301
"['Liberty', 'Liberty', 'Liberty']",166,-0.95,133,1.4,,,,,,,,,,,,,2020-11-25 08:34:57.970233
