teamID,metric,value,date
104,KenPom,+29.33,2020-12-01 19:14:48
21,KenPom,+28.08,2020-12-01 19:14:48
335,KenPom,+24.90,2020-12-01 19:14:48
75,KenPom,+24.60,2020-12-01 19:14:48
294,KenPom,+24.01,2020-12-01 19:14:48
134,KenPom,+23.75,2020-12-01 19:14:48
351,KenPom,+23.37,2020-12-01 19:14:48
343,KenPom,+23.08,2020-12-01 19:14:48
299,KenPom,+22.87,2020-12-01 19:14:48
115,KenPom,+21.81,2020-12-01 19:14:48
128,KenPom,+21.66,2020-12-01 19:14:48
172,KenPom,+21.53,2020-12-01 19:14:48
336,KenPom,+21.16,2020-12-01 19:14:48
220,KenPom,+21.08,2020-12-01 19:14:48
202,KenPom,+21.04,2020-12-01 19:14:48
63,KenPom,+20.86,2020-12-01 19:14:48
92,KenPom,+20.02,2020-12-01 19:14:48
290,KenPom,+19.98,2020-12-01 19:14:48
225,KenPom,+19.94,2020-12-01 19:14:48
138,KenPom,+19.94,2020-12-01 19:14:48
121,KenPom,+19.86,2020-12-01 19:14:48
337,KenPom,+19.83,2020-12-01 19:14:48
88,KenPom,+19.49,2020-12-01 19:14:48
171,KenPom,+19.28,2020-12-01 19:14:48
238,KenPom,+19.08,2020-12-01 19:14:48
125,KenPom,+19.07,2020-12-01 19:14:48
153,KenPom,+18.90,2020-12-01 19:14:48
282,KenPom,+18.86,2020-12-01 19:14:48
160,KenPom,+18.67,2020-12-01 19:14:48
53,KenPom,+18.58,2020-12-01 19:14:48
12,KenPom,+18.44,2020-12-01 19:14:48
247,KenPom,+18.34,2020-12-01 19:14:48
221,KenPom,+18.00,2020-12-01 19:14:48
259,KenPom,+17.87,2020-12-01 19:14:48
222,KenPom,+17.51,2020-12-01 19:14:48
175,KenPom,+17.33,2020-12-01 19:14:48
162,KenPom,+17.16,2020-12-01 19:14:48
140,KenPom,+17.02,2020-12-01 19:14:48
313,KenPom,+16.79,2020-12-01 19:14:48
11,KenPom,+16.54,2020-12-01 19:14:48
188,KenPom,+16.49,2020-12-01 19:14:48
