Date,Winner,WinnerScore,Loser,LoserScore,Home,Away
2020-11-25,335,76,27,67,27,335
2020-11-25,336,89,302,54,336,302
2020-11-25,128,97,204,67,128,204
2020-11-25,351,77,79,67,351,79
2020-11-25,121,122,203,60,121,203
2020-11-25,138,81,184,45,138,184
2020-11-25,172,83,81,67,172,81
2020-11-25,299,101,216,58,299,216
2020-11-25,343,79,270,71,343,270
2020-11-25,202,79,47,60,202,47
2020-11-25,115,89,143,45,115,143
2020-11-25,12,94,242,88,242,12
2020-11-25,294,91,324,55,294,324
2020-11-25,259,73,313,58,259,313
2020-11-25,220,94,123,67,220,123
2020-11-25,247,86,251,63,247,251
2020-11-25,171,96,29,82,171,29
2020-11-25,306,99,8,50,306,8
2020-11-25,10,81,268,61,268,10
2020-11-25,160,99,14,57,160,14
2020-11-25,18,72,192,66,192,18
2020-11-25,214,74,20,73,214,20
2020-11-25,226,71,41,63,226,41
2020-11-25,321,95,36,87,321,36
2020-11-25,199,101,307,93,199,307
2020-11-25,230,86,308,72,230,308
2020-11-25,227,66,309,60,227,309
2020-11-25,60,102,45,75,60,45
2020-11-25,188,95,48,61,188,48
2020-11-25,53,53,177,42,177,53
2020-11-25,339,111,69,51,339,69
2020-11-25,73,80,135,70,135,73
2020-11-25,1,70,78,47,1,78
2020-11-25,80,80,207,67,207,80
2020-11-25,153,79,84,44,153,84
2020-11-25,237,97,86,56,237,86
2020-11-25,240,84,87,66,240,87
2020-11-25,91,65,89,56,91,89
2020-11-25,266,68,90,66,266,90
2020-11-25,190,78,98,71,190,98
2020-11-25,102,123,103,120,103,102
2020-11-25,106,69,105,53,106,105
2020-11-25,175,99,107,69,175,107
2020-11-25,65,82,112,73,65,112
2020-11-25,287,69,116,45,287,116
2020-11-25,262,62,120,49,262,120
2020-11-25,122,65,212,61,212,122
2020-11-25,4,81,132,57,4,132
2020-11-25,238,77,145,64,238,145
2020-11-25,99,70,314,62,99,314
2020-11-25,316,76,260,68,260,316
2020-11-25,191,102,165,55,191,165
2020-11-25,166,73,254,56,254,166
2020-11-25,13,142,178,62,13,178
2020-11-25,183,91,320,78,320,183
2020-11-25,186,62,185,55,185,186
2020-11-25,344,98,319,76,344,319
2020-11-25,170,81,205,67,170,205
2020-11-25,193,62,206,48,193,206
2020-11-25,355,101,218,49,355,218
2020-11-25,219,84,51,61,51,219
2020-11-25,222,75,323,68,323,222
2020-11-25,162,85,223,67,162,223
2020-11-25,179,91,224,64,179,224
2020-11-25,147,71,234,66,147,234
2020-11-25,337,77,241,62,337,241
2020-11-25,280,80,231,70,231,280
2020-11-25,281,76,255,75,281,255
2020-11-25,249,97,256,67,249,256
2020-11-25,263,84,232,72,232,263
2020-11-25,57,84,269,61,57,269
2020-11-25,239,67,273,63,239,273
2020-11-25,253,89,248,52,253,248
2020-11-25,156,85,277,83,156,277
2020-11-25,125,89,293,59,125,293
2020-11-25,341,56,297,52,341,297
2020-11-25,30,61,301,59,30,301
2020-11-25,330,85,328,69,328,330
2020-11-25,346,93,213,87,213,346
2020-11-25,35,66,347,62,35,347
2020-11-26,104,102,134,90,104,134
2020-11-26,335,83,12,74,12,335
2020-11-26,121,97,51,38,121,51
2020-11-26,343,78,330,66,343,330
2020-11-26,17,96,252,91,252,17
2020-11-26,23,95,117,78,117,23
2020-11-26,27,69,242,64,242,27
2020-11-26,355,51,30,50,355,30
2020-11-26,18,67,78,66,18,78
2020-11-26,281,82,141,65,281,141
2020-11-26,145,84,177,73,177,145
2020-11-26,208,116,178,62,208,178
2020-11-26,192,60,173,59,173,192
2020-11-26,193,69,191,66,191,193
2020-11-26,19,86,197,61,19,197
2020-11-26,204,85,274,78,274,204
2020-11-26,254,66,213,64,254,213
2020-11-26,219,84,203,72,203,219
2020-11-26,53,81,238,70,53,238
2020-11-26,140,94,248,81,140,248
2020-11-26,301,80,218,53,218,301
2020-11-26,260,79,302,68,260,302
2020-11-26,270,83,328,59,270,328
2020-11-26,346,75,166,69,166,346
2020-11-27,104,90,17,67,17,104
2020-11-27,260,61,336,60,260,336
2020-11-27,128,103,274,76,128,274
2020-11-27,134,94,252,72,252,134
2020-11-27,351,92,14,58,351,14
2020-11-27,121,77,219,75,121,219
2020-11-27,299,84,256,52,299,256
2020-11-27,343,70,346,64,343,346
2020-11-27,115,68,26,58,115,26
2020-11-27,313,107,230,98,230,313
2020-11-27,247,96,87,75,247,87
2020-11-27,1,80,18,72,18,1
2020-11-27,161,70,15,56,161,15
2020-11-27,30,74,218,60,218,30
2020-11-27,286,85,32,84,286,32
2020-11-27,262,66,307,63,262,307
2020-11-27,259,77,308,58,259,308
2020-11-27,16,79,45,57,16,45
2020-11-27,80,60,48,50,80,48
2020-11-27,203,74,51,44,203,51
2020-11-27,57,76,135,58,135,57
2020-11-27,77,66,49,57,49,77
2020-11-27,160,75,79,50,160,79
2020-11-27,234,64,84,61,234,84
2020-11-27,132,60,90,50,132,90
2020-11-27,23,77,97,67,23,97
2020-11-27,11,74,105,55,11,105
2020-11-27,60,69,109,57,60,109
2020-11-27,255,62,141,51,255,141
2020-11-27,304,66,143,57,304,143
2020-11-27,339,71,149,60,339,149
2020-11-27,167,83,103,73,103,167
2020-11-27,78,57,173,43,78,173
2020-11-27,162,82,190,52,162,190
2020-11-27,199,70,120,51,120,199
2020-11-27,200,83,133,73,133,200
2020-11-27,318,77,147,70,147,318
2020-11-27,319,76,317,68,317,319
2020-11-27,188,86,207,51,188,207
2020-11-27,243,68,124,53,124,243
