Date,Winner,WinnerScore,Loser,LoserScore,Home,Away,WinnerHome,prev_game_date,next_game_date,prev_win,prev_game_home
2020-11-28,2,66,40,61,2,40,1,2021-01-27,2020-11-29,,
2020-11-29,263,63,2,45,2,263,0,2020-11-28,2020-12-05,1.0,2.0
2020-11-30,282,82,4,64,4,282,0,2020-11-25,2020-12-01,0.0,2.0
2020-12-01,4,86,320,74,4,320,1,2020-11-30,2020-12-02,0.0,4.0
2020-12-02,4,88,237,71,4,237,1,2020-12-01,2020-12-12,1.0,4.0
2020-12-19,314,65,7,64,7,314,0,2021-01-25,2020-12-20,1.0,4.0
2020-12-20,314,65,7,60,7,314,0,2020-12-19,2020-12-22,0.0,7.0
2021-01-16,7,83,189,75,7,189,1,2020-12-22,2021-01-17,0.0,7.0
2021-01-17,7,83,189,71,7,189,1,2021-01-16,2021-01-16,1.0,7.0
2021-01-01,303,69,10,56,10,303,0,2020-11-30,2021-01-02,1.0,7.0
2021-01-02,10,90,303,59,10,303,1,2021-01-01,2021-01-08,0.0,10.0
2021-01-08,10,66,101,63,10,101,1,2021-01-02,2021-01-09,1.0,10.0
2021-01-09,10,77,101,71,10,101,1,2021-01-08,2021-01-22,1.0,10.0
2021-01-22,10,80,102,71,10,102,1,2021-01-09,2021-01-23,1.0,10.0
2021-01-23,10,74,102,61,10,102,1,2021-01-22,2020-11-27,1.0,10.0
2021-01-15,15,74,151,72,15,151,1,2020-12-09,2021-01-16,1.0,10.0
2021-01-16,15,93,151,72,15,151,1,2021-01-15,2021-01-29,1.0,15.0
2021-01-29,15,83,323,75,15,323,1,2021-01-16,2021-01-30,1.0,15.0
2021-01-30,323,65,15,64,15,323,0,2021-01-29,2020-11-27,1.0,15.0
2020-11-26,18,67,78,66,18,78,1,2021-01-26,2020-11-27,0.0,15.0
2020-11-27,1,80,18,72,18,1,0,2020-11-26,2020-12-15,1.0,18.0
2020-12-01,321,79,19,53,19,321,0,2020-11-28,2020-12-02,0.0,18.0
2020-12-02,19,74,281,68,19,281,1,2020-12-01,2020-12-09,0.0,19.0
