kp_name,sr_name,espn_name,KenPomRank,KenPomVal,SRS,o_eff,d_eff,ppg,papg,BPIrank,BPIval,Pace,Three_Par,True_Shoot,Tov,Opp_Three_Par,Opp_True_Shoot,Opp_Tov,record_date
Abilene Christian,Abilene Christian,Abilene Christian,121,+4.45,9.51,100.42,85.83,74.6,57.5,137,1.3,73.9,.373,.532,17.3,.352,.481,27.9,2020-12-30 07:16:54
Air Force,Air Force,Air Force,252,-7.45,-12.30,86.10,103.25,58.0,64.8,311,-6.8,64.9,.443,.547,22.2,.418,.527,18.0,2020-12-30 07:16:54
Akron,Akron,Akron,124,+3.80,21.50,130.09,97.24,88.5,70.8,128,2.2,72.2,.467,.616,14.6,.341,.497,13.9,2020-12-30 07:16:54
Alabama,Alabama,Alabama,48,+16.22,13.50,111.58,92.01,77.3,70.4,61,6.1,74.3,.489,.523,15.3,.381,.509,19.0,2020-12-30 07:16:54
Alabama A&M,Alabama A&M,Alabama A&M,339,-16.67,-3.37,86.03,91.00,85.5,83.0,318,-7.2,75.7,.429,.584,21.5,.350,.494,14.7,2020-12-30 07:16:54
Alabama St.,Alabama State,Alabama State,352,-21.71,,,,,,344,-11.7,,,,,,,,2020-12-30 07:16:54
Albany,Albany (NY),Albany,301,-11.18,-7.04,94.80,105.03,63.0,66.7,192,-1.5,68.6,.351,.483,14.0,.373,.556,19.3,2020-12-30 07:16:54
Alcorn St.,Alcorn State,Alcorn State,345,-19.72,-27.93,88.45,123.84,57.3,95.5,322,-7.6,71.7,.322,.438,21.8,.416,.665,14.1,2020-12-30 07:16:54
American,American,American,257,-7.92,,,,,,259,-4.1,,,,,,,,2020-12-30 07:16:54
Appalachian St.,Appalachian State,Appalachian State,199,-3.63,-5.29,92.93,102.63,73.2,56.7,164,-0.1,68.0,.425,.546,16.7,.393,.454,18.4,2020-12-30 07:16:54
Arizona,Arizona,Arizona,38,+17.32,16.93,116.98,91.99,78.4,64.0,54,6.7,69.8,.338,.567,15.6,.356,.506,19.0,2020-12-30 07:16:54
Arizona St.,Arizona State,Arizona State,56,+13.90,6.33,106.93,96.43,77.1,76.6,55,6.5,75.3,.403,.549,14.2,.398,.565,20.3,2020-12-30 07:16:54
Arkansas,Arkansas,Arkansas,36,+17.43,22.13,117.35,87.25,90.0,61.6,28,9.1,75.2,.418,.571,13.0,.366,.444,16.7,2020-12-30 07:16:54
Arkansas Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,351,-21.57,-22.57,85.02,114.06,56.7,87.9,342,-10.5,71.4,.301,.442,20.8,.355,.610,12.5,2020-12-30 07:16:54
Arkansas St.,Arkansas State,Arkansas State,281,-9.73,-16.87,85.37,107.43,75.9,66.4,308,-6.5,71.9,.275,.551,15.9,.340,.481,16.9,2020-12-30 07:16:54
