Team1,Team2,Team1HomeAway,Team1Winner,Date,Team1KP,Team1BPI,Team1SRS,Team2KP,Team2BPI,Team2SRS,KPDiff,BPIDiff,SRSDiff
Michigan State,Kentucky,away,False,2019-11-05 00:00:00,26.17,15.6,23.94,20.31,10.4,15.97,5.86,5.2,7.97
Kentucky,Michigan State,home,True,2019-11-05 00:00:00,20.31,10.4,15.97,26.17,15.6,23.94,-5.86,-5.2,-7.97
Kansas,Duke,away,False,2019-11-05 00:00:00,27.52,14.6,27.38,30.30,17.7,27.93,-2.78,-3.1,-0.55
Duke,Kansas,home,True,2019-11-05 00:00:00,30.30,17.7,27.93,27.52,14.6,27.38,2.78,3.1,0.55
Louisville,Miami (FL),away,True,2019-11-05 00:00:00,23.33,12.5,17.68,8.15,5.1,6.68,15.18,7.4,11.00
Miami (FL),Louisville,home,False,2019-11-05 00:00:00,8.15,5.1,6.68,23.33,12.5,17.68,-15.18,-7.4,-11.00
North Florida,Florida,away,False,2019-11-05 00:00:00,-0.04,0.4,-1.05,17.73,11.4,14.37,-17.77,-11.0,-15.42
Florida,North Florida,home,True,2019-11-05 00:00:00,17.73,11.4,14.37,-0.04,0.4,-1.05,17.77,11.0,15.42
Holy Cross,Maryland,away,False,2019-11-05 00:00:00,-15.71,-10.5,-15.41,23.10,12.7,20.58,-38.81,-23.2,-35.99
Maryland,Holy Cross,home,True,2019-11-05 00:00:00,23.10,12.7,20.58,-15.71,-10.5,-15.41,38.81,23.2,35.99
Alabama State,Gonzaga,away,False,2019-11-05 00:00:00,-17.08,-11.1,-17.54,21.88,13.2,19.32,-38.96,-24.3,-36.86
Gonzaga,Alabama State,home,True,2019-11-05 00:00:00,21.88,13.2,19.32,-17.08,-11.1,-17.54,38.96,24.3,36.86
Army,Villanova,away,False,2019-11-05 00:00:00,-10.20,-5.2,-13.30,18.00,11.1,14.22,-28.20,-16.3,-27.52
Villanova,Army,home,True,2019-11-05 00:00:00,18.00,11.1,14.22,-10.20,-5.2,-13.30,28.20,16.3,27.52
Wagner,Seton Hall,away,False,2019-11-05 00:00:00,-10.98,-5.9,-9.92,19.68,10.3,17.83,-30.66,-16.2,-27.75
Seton Hall,Wagner,home,True,2019-11-05 00:00:00,19.68,10.3,17.83,-10.98,-5.9,-9.92,30.66,16.2,27.75
Eastern Illinois,Texas Tech,away,False,2019-11-05 00:00:00,-3.83,0.3,-3.05,17.49,10.1,14.87,-21.32,-9.8,-17.92
Texas Tech,Eastern Illinois,home,True,2019-11-05 00:00:00,17.49,10.1,14.87,-3.83,0.3,-3.05,21.32,9.8,17.92
South Carolina State,Memphis,away,False,2019-11-05 00:00:00,-15.66,-9.4,-15.02,15.67,7.3,17.49,-31.33,-16.7,-32.51
Memphis,South Carolina State,home,True,2019-11-05 00:00:00,15.67,7.3,17.49,-15.66,-9.4,-15.02,31.33,16.7,32.51
Fresno State,Oregon,away,False,2019-11-05 00:00:00,2.65,1.7,2.54,20.09,12.7,19.41,-17.44,-11.0,-16.87
Oregon,Fresno State,home,True,2019-11-05 00:00:00,20.09,12.7,19.41,2.65,1.7,2.54,17.44,11.0,16.87
Central Arkansas,Baylor,away,False,2019-11-05 00:00:00,-12.37,-8.6,-14.95,22.26,11.9,18.10,-34.63,-20.5,-33.05
Baylor,Central Arkansas,home,True,2019-11-05 00:00:00,22.26,11.9,18.10,-12.37,-8.6,-14.95,34.63,20.5,33.05
Montana State,Utah State,away,False,2019-11-05 00:00:00,-5.29,-1.9,-3.59,10.01,7.5,11.70,-15.30,-9.4,-15.29
Utah State,Montana State,home,True,2019-11-05 00:00:00,10.01,7.5,11.70,-5.29,-1.9,-3.59,15.30,9.4,15.29
Jacksonville,Xavier,away,False,2019-11-05 00:00:00,-5.94,-4.7,-5.86,16.48,8.3,13.08,-22.42,-13.0,-18.94
Xavier,Jacksonville,home,True,2019-11-05 00:00:00,16.48,8.3,13.08,-5.94,-4.7,-5.86,22.42,13.0,18.94
Saint Mary's (CA),Wisconsin,away,True,2019-11-05 00:00:00,17.04,10.1,13.37,17.99,11.5,15.11,-0.95,-1.4,-1.74
Wisconsin,Saint Mary's (CA),home,False,2019-11-05 00:00:00,17.99,11.5,15.11,17.04,10.1,13.37,0.95,1.4,1.74
Georgia Southern,Auburn,away,False,2019-11-05 00:00:00,0.58,0.7,-0.65,21.29,12.4,19.11,-20.71,-11.7,-19.76
Auburn,Georgia Southern,home,True,2019-11-05 00:00:00,21.29,12.4,19.11,0.58,0.7,-0.65,20.71,11.7,19.76
Saint Francis (PA),Virginia Commonwealth,away,False,2019-11-05 00:00:00,-0.35,1.7,-1.10,15.58,8.6,12.49,-15.93,-6.9,-13.59
Virginia Commonwealth,Saint Francis (PA),home,True,2019-11-05 00:00:00,15.58,8.6,12.49,-0.35,1.7,-1.10,15.93,6.9,13.59
Alabama A&M,Tennessee State,away,False,2019-11-05 00:00:00,-16.29,-10.2,-14.70,-5.55,-3.2,-2.40,-10.74,-7.0,-12.30
Tennessee State,Alabama A&M,home,True,2019-11-05 00:00:00,-5.55,-3.2,-2.40,-16.29,-10.2,-14.70,10.74,7.0,12.30
Alcorn State,DePaul,away,False,2019-11-05 00:00:00,-13.89,-5.9,-13.37,11.08,4.8,9.45,-24.97,-10.7,-22.82
DePaul,Alcorn State,home,True,2019-11-05 00:00:00,11.08,4.8,9.45,-13.89,-5.9,-13.37,24.97,10.7,22.82
American,Siena,away,False,2019-11-05 00:00:00,-4.85,-2.1,-6.69,-2.15,-2.4,-2.50,-2.70,0.3,-4.19
Siena,American,home,True,2019-11-05 00:00:00,-2.15,-2.4,-2.50,-4.85,-2.1,-6.69,2.70,-0.3,4.19
Appalachian State,Michigan,away,False,2019-11-05 00:00:00,-0.05,0.6,0.05,19.40,10.3,17.27,-19.45,-9.7,-17.22
Michigan,Appalachian State,home,True,2019-11-05 00:00:00,19.40,10.3,17.27,-0.05,0.6,0.05,19.45,9.7,17.22
Little Rock,Missouri State,away,True,2019-11-05 00:00:00,1.12,-1.2,1.60,2.44,1.7,1.76,-1.32,-2.9,-0.16
Missouri State,Little Rock,home,False,2019-11-05 00:00:00,2.44,1.7,1.76,1.12,-1.2,1.60,1.32,2.9,0.16
