,Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,SOS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,SOS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
0,2016-11-11,94,49,Duke,Marist,1,312.0,-13.63,305,-8.0,-12.33,-2.74,96.94,112.97,69.5,79.1,69.1,.421,.539,16.6,.347,.564,13.5,14.0,+24.17,7,17.7,21.56,10.91,122.70,91.17,80.8,70.2,69.9,.383,.588,14.2,.288,.510,14.9
1,2016-11-11,87,64,Kentucky,Stephen F. Austin,1,233.0,-6.19,262,-5.2,-7.01,-5.75,94.04,102.27,69.4,68.8,69.3,.345,.544,21.6,.346,.547,20.5,4.0,+27.72,9,17.5,23.88,10.49,120.28,86.87,84.9,71.5,74.3,.316,.564,13.4,.333,.507,16.9
2,2016-11-11,103,99,Kansas,Indiana,0,44.0,+14.49,32,10.6,14.63,8.16,117.34,96.09,79.7,73.3,69.5,.387,.582,18.2,.342,.525,13.8,6.0,+27.45,4,18.4,23.53,12.23,123.67,89.65,83.2,71.9,71.4,.359,.583,15.1,.342,.515,16.1
3,2016-11-11,88,48,Villanova,Lafayette,1,330.0,-16.79,330,-10.9,-14.68,-3.50,93.35,112.40,66.5,76.1,70.3,.400,.528,18.8,.437,.563,16.1,2.0,+29.88,2,20.3,23.80,9.28,123.50,87.45,77.2,62.7,65.6,.433,.612,15.0,.400,.506,17.6
4,2016-11-11,91,77,Oregon,Army,1,230.0,-6.04,253,-4.7,-5.84,-4.10,96.97,103.30,72.6,73.1,72.0,.433,.538,18.3,.349,.529,15.4,10.0,+25.02,10,17.4,20.80,8.38,118.40,88.20,78.9,65.8,68.8,.388,.582,14.7,.378,.494,16.6
5,2016-11-11,95,75,Tulane,North Carolina,0,3.0,+28.22,3,19.4,24.84,11.76,122.33,86.92,84.4,70.6,72.6,.303,.550,13.4,.395,.517,16.6,241.0,-6.58,256,-4.9,-3.98,4.25,101.93,105.34,70.3,78.5,71.1,.368,.505,16.3,.345,.570,17.1
6,2016-11-11,84,81,Xavier,Lehigh,1,115.0,+4.23,112,2.9,1.54,-3.30,105.70,102.33,76.0,70.7,70.4,.385,.589,17.9,.382,.532,16.5,31.0,+16.70,33,10.4,14.80,11.51,115.94,93.35,74.6,71.3,68.2,.361,.552,15.7,.395,.546,15.5
7,2016-11-11,76,51,North Carolina-Greensboro,Virginia,0,12.0,+24.29,11,17.2,20.63,10.93,114.37,81.99,66.1,56.4,60.3,.330,.548,13.7,.398,.499,18.4,121.0,+3.19,126,2.1,-0.10,-2.63,105.32,103.77,75.1,69.3,68.4,.395,.564,16.9,.370,.536,17.7
8,2016-11-11,79,47,Wisconsin,Central Arkansas,1,308.0,-13.47,319,-9.5,-13.04,-3.76,99.39,115.93,74.8,84.1,72.2,.321,.535,16.6,.439,.575,13.5,21.0,+22.99,19,15.0,19.40,9.40,116.38,86.58,72.4,62.4,64.5,.369,.542,14.3,.335,.511,17.3
9,2016-11-11,65,63,Michigan State,Arizona,0,18.0,+23.31,22,14.7,18.25,7.63,118.07,90.77,76.6,65.9,67.3,.305,.580,14.5,.364,.506,15.2,40.0,+15.51,43,9.7,13.67,10.50,113.33,92.34,71.9,68.7,68.2,.380,.563,18.0,.327,.509,13.9
