Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
11/13/15,91,67,Temple,North Carolina,0,2,29.82,2,18.7,23.44,123.72,89.33,82.8,70,70.2,0.268,0.561,12.7,0.357,0.513,15.7,86,8.82,80,5.9,7.69,106.88,94.37,68.7,67.6,65.8,0.375,0.498,11.8,0.322,0.503,13.8
11/13/15,78,65,Kentucky,Albany (NY),1,121,4.25,94,4.8,0.93,103.84,101,75.6,66.1,67.8,0.317,0.558,15.6,0.395,0.508,16.6,6,25.14,8,16.2,20.23,121.51,91.18,79.5,68.1,68.1,0.31,0.564,13.3,0.296,0.493,15
11/13/15,80,56,Maryland,Mount St. Mary's,1,263,-8.78,253,-4.8,-9.93,91.09,103.49,67.2,69.2,69.7,0.362,0.492,15.1,0.289,0.542,21.3,22,20.25,20,13.3,16.71,117.32,91.83,75.7,66.7,67.3,0.381,0.594,16.6,0.35,0.496,14.4
11/13/15,109,72,Kansas,Northern Colorado,1,314,-14.65,315,-9,-12.22,99.15,114.58,73.9,80.1,69.9,0.316,0.553,17.1,0.398,0.592,15.4,3,29.67,5,18.5,23.87,121.72,86.77,81.3,67.6,69.7,0.33,0.592,15.5,0.33,0.497,15.9
11/13/15,92,74,Duke,Siena,1,128,3.67,112,3.6,1.73,105,101.37,78.2,73.3,71,0.294,0.559,18.7,0.345,0.516,14.9,17,21.87,11,15.6,19.23,122.67,94.4,81.1,72.5,68.4,0.398,0.573,12.2,0.296,0.519,14.5
11/13/15,86,48,Virginia,Morgan State,1,304,-13.58,316,-9.2,-12.57,91.2,107.82,67.4,71.7,69.1,0.289,0.481,14.5,0.32,0.537,17.9,4,29.64,4,18.6,22.04,122.22,87.24,71,60.1,61.5,0.284,0.58,13.2,0.366,0.519,16.7
11/13/15,68,62,Iowa State,Colorado,1,57,12.91,52,8.7,12.04,109.16,91.27,75.8,70.8,70.8,0.319,0.534,15.8,0.292,0.506,13.5,20,20.95,25,12.8,16.93,120.73,95.9,81.8,75,71.5,0.351,0.59,14.1,0.356,0.522,14.5
11/13/15,88,63,Wichita State,Charleston Southern,1,298,-12.94,275,-6.6,-10.92,96.47,110.73,71.5,75.1,70,0.448,0.523,15.6,0.385,0.562,15.8,13,22.53,15,14.4,17.39,111.86,85.51,72.4,59,66.1,0.381,0.531,12.7,0.367,0.499,20.7
11/13/15,91,54,Villanova,Fairleigh Dickinson,1,280,-10.63,278,-6.7,-10.9,99.82,113.27,77.5,78.8,72.4,0.324,0.546,15.3,0.367,0.56,18,1,32.01,1,19.9,24.08,122.35,86.03,78,63.6,67.3,0.427,0.597,14.4,0.374,0.495,17.7
11/13/15,79,61,Arizona,Pacific,1,227,-5.63,211,-2.4,-3.57,100.19,104.08,69.6,71.8,67.8,0.369,0.532,17.3,0.367,0.536,15.2,19,20.97,14,14.8,18.79,117.35,89.84,80.4,68.9,69.8,0.294,0.575,15.7,0.313,0.497,14.1
11/13/15,82,55,Michigan State,Florida Atlantic,1,293,-12.36,310,-8.6,-10.3,92.65,105.49,66.3,74.1,68.5,0.367,0.511,15.8,0.251,0.539,14.3,5,27.97,3,18.6,22.59,123.3,89.06,79.8,64.1,66.8,0.356,0.588,14.6,0.325,0.477,12.4
