,Date,Win_Score,Lose_Score,Home,Away,WinnerHome,KenPomRank_Away,KenPomVal_Away,BPIrank_Away,BPIval_Away,SRS_Away,SOS_Away,o_eff_Away,d_eff_Away,ppg_Away,papg_Away,Pace_Away,Three_Par_Away,True_Shoot_Away,Tov_Away,Opp_Three_Par_Away,Opp_True_Shoot_Away,Opp_Tov_Away,KenPomRank_Home,KenPomVal_Home,BPIrank_Home,BPIval_Home,SRS_Home,SOS_Home,o_eff_Home,d_eff_Home,ppg_Home,papg_Home,Pace_Home,Three_Par_Home,True_Shoot_Home,Tov_Home,Opp_Three_Par_Home,Opp_True_Shoot_Home,Opp_Tov_Home
0,2018-11-06,92,87,Kansas,Michigan State,1,3.0,+30.81,4,19.8,24.93,12.34,122.55,86.17,77.6,65.0,68.1,.378,.585,16.0,.372,.471,12.9,17.0,+21.57,18,14.2,18.35,12.79,115.57,89.20,75.7,70.1,70.3,.349,.555,16.1,.418,.507,15.4
1,2018-11-06,118,84,Kentucky,Duke,0,4.0,+30.62,3,21.3,26.90,11.98,121.54,84.16,82.7,67.8,73.2,.373,.561,14.8,.349,.479,16.7,8.0,+27.57,7,18.3,21.43,10.29,119.35,87.30,75.8,64.7,67.3,.296,.571,15.9,.386,.498,15.7
2,2018-11-06,120,79,Gonzaga,Idaho State,1,329.0,-16.18,317,-9.1,-13.17,-4.81,100.44,118.46,73.3,79.0,68.9,.432,.555,15.4,.377,.580,13.2,2.0,+32.85,2,23.1,27.79,5.01,125.22,86.27,87.6,64.9,71.7,.353,.620,13.1,.349,.474,16.5
3,2018-11-06,73,42,Virginia,Towson,1,291.0,-10.67,273,-6.0,-8.44,-3.57,97.86,109.79,67.8,71.7,64.5,.296,.514,15.6,.461,.554,13.6,1.0,+34.22,1,23.2,25.46,10.15,124.73,85.12,71.4,56.1,60.8,.395,.580,12.8,.425,.475,15.4
4,2018-11-06,86,70,Nevada,Brigham Young,1,86.0,+7.72,94,4.8,6.15,3.31,111.07,101.58,79.0,76.1,71.9,.364,.566,13.7,.366,.545,15.5,27.0,+18.18,21,12.9,16.00,2.68,114.62,92.01,80.1,66.8,70.7,.428,.570,12.9,.399,.505,17.0
5,2018-11-06,78,67,Wofford,North Carolina,0,7.0,+27.69,5,18.9,23.94,11.35,120.64,88.24,85.8,73.2,75.9,.358,.560,14.6,.438,.517,16.4,18.0,+20.69,16,14.3,13.92,0.80,118.28,97.04,82.3,65.6,68.5,.436,.598,13.5,.402,.521,18.0
6,2018-11-06,100,77,Villanova,Morgan State,1,333.0,-17.85,337,-12.1,-15.98,-10.70,88.97,109.88,72.0,76.8,73.9,.271,.483,15.2,.372,.562,20.5,30.0,+17.33,25,12.5,14.33,7.97,117.31,96.22,73.7,67.4,65.0,.535,.565,14.2,.397,.531,15.4
7,2018-11-06,101,58,Auburn,South Alabama,1,214.0,-4.52,214,-2.6,-4.46,-2.71,101.13,106.30,72.9,72.5,68.9,.404,.563,17.2,.363,.545,17.2,11.0,+25.00,12,16.4,20.84,10.92,121.33,91.64,79.7,68.8,69.2,.494,.569,14.3,.435,.545,21.3
8,2018-11-06,84,57,Oregon,Portland State,1,286.0,-10.21,243,-4.2,-8.95,-5.78,98.13,109.85,77.3,75.1,72.2,.381,.522,15.9,.360,.563,18.3,28.0,+17.86,31,11.6,13.95,6.13,110.14,88.85,70.0,62.2,65.5,.395,.549,15.4,.454,.502,18.2
9,2018-11-06,66,34,Syracuse,Eastern Washington,1,237.0,-6.36,237,-3.9,-6.77,-4.17,98.21,107.36,72.4,74.3,69.5,.434,.535,14.8,.395,.559,15.3,39.0,+15.13,35,10.5,13.73,10.09,111.42,90.77,69.7,66.1,67.2,.432,.529,15.9,.481,.520,19.6
10,2018-11-06,81,60,Florida State,Florida,1,26.0,+18.30,30,11.6,15.42,11.22,111.92,89.12,67.8,63.6,64.7,.433,.530,15.4,.381,.515,19.2,14.0,+22.39,14,14.6,17.99,10.26,113.40,87.45,74.9,67.2,69.5,.377,.545,16.2,.388,.514,18.0
11,2018-11-06,63,44,Michigan,Norfolk State,1,244.0,-7.23,233,-3.6,-8.04,-8.74,95.85,106.21,73.7,69.5,71.8,.370,.539,17.5,.418,.515,18.8,6.0,+28.32,8,17.8,21.82,10.55,115.33,82.49,69.6,58.3,65.4,.399,.542,12.3,.301,.467,15.8
12,2018-11-06,96,71,UCLA,Purdue-Fort Wayne,1,192.0,-2.17,158,0.6,-3.47,-3.60,105.03,109.33,82.7,77.5,73.4,.461,.587,14.5,.387,.548,15.8,102.0,+6.34,105,4.0,7.17,6.78,109.80,99.12,78.2,77.8,73.7,.358,.543,16.4,.414,.524,13.1
13,2018-11-06,100,80,Clemson,Citadel,1,257.0,-7.83,242,-4.1,-7.94,0.03,105.44,114.79,85.1,86.1,76.7,.535,.565,14.6,.474,.573,15.3,36.0,+16.14,33,10.9,13.85,8.99,109.15,88.54,68.8,63.9,67.3,.356,.543,17.3,.396,.513,17.6
14,2018-11-06,94,63,Louisiana State,Southeastern Louisiana,1,232.0,-6.07,262,-5.3,-7.59,-6.30,96.30,105.90,67.4,67.5,67.6,.401,.545,20.8,.351,.542,19.0,19.0,+20.22,23,12.7,16.50,9.16,118.04,94.11,80.4,73.1,70.6,.342,.553,15.1,.400,.530,17.4
15,2018-11-06,90,57,Purdue,Fairfield,1,301.0,-11.43,274,-6.0,-10.20,-7.14,93.94,108.08,66.8,69.9,68.1,.422,.530,18.2,.356,.560,18.9,9.0,+26.81,9,17.4,21.40,11.99,123.61,91.72,76.7,67.3,66.1,.455,.563,13.5,.432,.527,16.3
16,2018-11-06,73,55,Washington,Western Kentucky,1,116.0,+5.20,120,3.1,3.14,0.96,103.93,98.50,71.4,69.3,69.0,.318,.539,17.1,.408,.515,16.1,48.0,+14.28,52,8.7,12.01,7.01,108.01,90.31,69.8,64.8,67.4,.399,.551,17.4,.353,.513,20.5
17,2018-11-06,80,63,South Florida,Alabama A&M,1,344.0,-22.17,345,-14.5,-19.23,-8.38,84.53,111.44,60.6,71.4,67.5,.320,.479,19.4,.384,.558,18.3,99.0,+6.63,108,3.6,5.96,1.69,102.33,93.21,72.4,67.2,69.5,.386,.529,18.8,.374,.522,19.2
18,2018-11-06,79,53,Iowa State,Alabama State,1,328.0,-15.77,320,-9.3,-15.60,-7.84,90.49,111.50,67.3,72.1,69.6,.382,.499,17.8,.368,.551,18.8,15.0,+22.09,15,14.5,18.07,9.30,119.63,93.06,76.9,68.1,68.2,.396,.575,13.9,.392,.511,15.9
19,2018-11-06,73,56,Tulsa,Alcorn State,1,349.0,-24.07,344,-14.3,-22.08,-8.97,84.56,114.88,64.4,70.8,68.8,.375,.504,19.9,.377,.538,16.9,119.0,+4.94,127,2.8,4.65,3.86,105.70,98.39,71.8,71.0,69.9,.376,.550,16.2,.440,.513,15.1
