teamID,kenpom_name,sr_name,bpi_name,sr_games_name,odds_api_name,extra_name3
1,Abilene Christian,Abilene Christian,Abilene Christian,NULL,Abilene Christian Wildcats,NULL
2,Air Force,Air Force,Air Force,NULL,Air Force Falcons,NULL
3,Akron,Akron,Akron,NULL,Akron Zips,NULL
4,Alabama,Alabama,Alabama,NULL,Alabama Crimson Tide,NULL
5,Alabama A&M,Alabama A&M,Alabama A&M,NULL,Alabama A&M Bulldogs,NULL
6,Alabama St,Alabama State,Alabama State,NULL,Alabama State Hornets,NULL
7,Albany,Albany NY,Albany,NULL,Albany Great Danes,NULL
8,Alcorn St,Alcorn State,Alcorn State,NULL,Alcorn State Braves,NULL
9,American,American,American,NULL,American Eagles,NULL
10,Appalachian St,Appalachian State,Appalachian State,NULL,App State Mountaineers,NULL
11,Arizona,Arizona,Arizona,NULL,Arizona Wildcats,NULL
12,Arizona St,Arizona State,Arizona State,NULL,Arizona State Sun Devils,NULL
13,Arkansas,Arkansas,Arkansas,NULL,Arkansas Razorbacks,NULL
14,Arkansas Pine Bluff,Arkansas Pine Bluff,Arkansas Pine Bluff,NULL,Arkansas Pine Bluff Golden Lions,NULL
15,Arkansas St,Arkansas State,Arkansas State,NULL,Arkansas State Red Wolves,NULL
16,Army,Army,Army,NULL,Army West Point Black Knights,NULL
17,Auburn,Auburn,Auburn,NULL,Auburn Tigers,NULL
18,Austin Peay,Austin Peay,Austin Peay,NULL,Austin Peay Governors,NULL
19,BYU,Brigham Young,BYU,NULL,Brigham Young Cougars,NULL
20,Ball St,Ball State,Ball State,NULL,Ball State Cardinals,NULL
21,Baylor,Baylor,Baylor,NULL,Baylor Bears,NULL
22,Bellarmine,Bellarmine,Bellarmine,NULL,Bellarmine Knights,NULL
23,Belmont,Belmont,Belmont,NULL,Belmont Bruins,NULL
24,Bethune Cookman,Bethune Cookman,Bethune Cookman,NULL,Bethune Cookman Wildcats,NULL
25,Binghamton,Binghamton,Binghamton,NULL,Binghamton Bearcats,NULL
26,Boise St,Boise State,Boise State,NULL,Boise State Broncos,NULL
27,Boston College,Boston College,Boston College,NULL,Boston College Eagles,NULL
28,Boston University,Boston University,Boston University,NULL,Boston University Terriers,NULL
29,Bowling Green,Bowling Green State,Bowling Green,NULL,Bowling Green Falcons,NULL
30,Bradley,Bradley,Bradley,NULL,Bradley Braves,NULL
31,Brown,Brown,Brown,NULL,Brown Bears,NULL
32,Bryant,Bryant,Bryant,NULL,Bryant University Bulldogs,NULL
33,Bucknell,Bucknell,Bucknell,NULL,Bucknell Bison,NULL
34,Buffalo,Buffalo,Buffalo,NULL,Buffalo Bulls,NULL
35,Butler,Butler,Butler,NULL,Butler Bulldogs,NULL
36,Cal Baptist,California Baptist,California Baptist,NULL,California Baptist Lancers,NULL
37,Cal Poly,Cal Poly,Cal Poly,NULL,Cal Poly Mustangs,NULL
38,Cal St Bakersfield,Cal State Bakersfield,CSU Bakersfield,NULL,Cal State Bakersfield Roadrunners,NULL
39,Cal St Fullerton,Cal State Fullerton,CSU Fullerton,NULL,Cal State Fullerton Titans,NULL
40,Cal St Northridge,Cal State Northridge,CSU Northridge,NULL,Northridge Matadors,NULL
41,California,University of California,California,NULL,California Golden Bears,NULL
42,Campbell,Campbell,Campbell,NULL,Campbell Fighting Camels,NULL
43,Canisius,Canisius,Canisius,NULL,Canisius Golden Griffins,NULL
44,Central Arkansas,Central Arkansas,Central Arkansas,NULL,Cent Arkansas Bears,NULL
45,Central Connecticut,Central Connecticut State,Central Connecticut,NULL,Central Connecticut State Blue Devils,NULL
46,Central Michigan,Central Michigan,Central Michigan,NULL,Central Michigan Chippewas,NULL
47,Charleston,College of Charleston,Charleston,NULL,College of Charleston Cougars,NULL
48,Charleston Southern,Charleston Southern,Charleston Southern,NULL,Charleston Southern Buccaneers,NULL
49,Charlotte,Charlotte,Charlotte,NULL,Charlotte 49ers,NULL
50,Chattanooga,Chattanooga,Chattanooga,NULL,Chattanooga Mocs,NULL
51,Chicago St,Chicago State,Chicago State,NULL,Chicago State Cougars,NULL
52,Cincinnati,Cincinnati,Cincinnati,NULL,Cincinnati Bearcats,NULL
53,Clemson,Clemson,Clemson,NULL,Clemson Tigers,NULL
54,Cleveland St,Cleveland State,Cleveland State,NULL,Cleveland State Vikings,NULL
55,Coastal Carolina,Coastal Carolina,Coastal Carolina,NULL,Coastal Carolina Chanticleers,NULL
56,Colgate,Colgate,Colgate,NULL,Colgate Raiders,NULL
57,Colorado,Colorado,Colorado,NULL,Colorado Buffaloes,NULL
58,Colorado St,Colorado State,Colorado State,NULL,Colorado State Rams,NULL
59,Columbia,Columbia,Columbia,NULL,Columbia Lions,NULL
60,Connecticut,Connecticut,UConn,NULL,Connecticut Huskies,NULL
61,Coppin St,Coppin State,Coppin State,NULL,Coppin State Eagles,NULL
62,Cornell,Cornell,Cornell,NULL,Cornell Big Red,NULL
63,Creighton,Creighton,Creighton,NULL,Creighton Bluejays,NULL
64,Dartmouth,Dartmouth,Dartmouth,NULL,Dartmouth Big Green,NULL
65,Davidson,Davidson,Davidson,NULL,Davidson Wildcats,NULL
66,Dayton,Dayton,Dayton,NULL,Dayton Flyers,NULL
67,DePaul,DePaul,DePaul,NULL,DePaul Blue Demons,NULL
68,Delaware,Delaware,Delaware,NULL,Delaware Fightin' Blue Hens,NULL
69,Delaware St,Delaware State,Delaware State,NULL,Delaware State Hornets,NULL
70,Denver,Denver,Denver,NULL,Denver Pioneers,NULL
71,Detroit,Detroit Mercy,Detroit Mercy,NULL,Detroit Titans,NULL
72,Dixie St,Dixie State,Dixie State,NULL,Dixie State Trailblazers,NULL
73,Drake,Drake,Drake,NULL,Drake Bulldogs,NULL
74,Drexel,Drexel,Drexel,NULL,Drexel Dragons,NULL
75,Duke,Duke,Duke,NULL,Duke Blue Devils,NULL
76,Duquesne,Duquesne,Duquesne,NULL,Duquesne Dukes,NULL
77,East Carolina,East Carolina,East Carolina,NULL,East Carolina Pirates,NULL
78,East Tennessee St,East Tennessee State,East Tennessee State,NULL,E Tennessee State Buccaneers,NULL
79,Eastern Illinois,Eastern Illinois,Eastern Illinois,NULL,Eastern Illinois Panthers,NULL
80,Eastern Kentucky,Eastern Kentucky,Eastern Kentucky,NULL,Eastern Kentucky Colonels,NULL
81,Eastern Michigan,Eastern Michigan,Eastern Michigan,NULL,Eastern Michigan Eagles,NULL
82,Eastern Washington,Eastern Washington,Eastern Washington,NULL,Eastern Washington Eagles,NULL
83,Elon,Elon,Elon,NULL,Elon Phoenix,NULL
84,Evansville,Evansville,Evansville,NULL,Evansville Aces,NULL
85,FIU,Florida International,Florida International,NULL,Florida International Panthers,NULL
86,Fairfield,Fairfield,Fairfield,NULL,Fairfield Stags,NULL
87,Fairleigh Dickinson,Fairleigh Dickinson,Fairleigh Dickinson,NULL,Fairleigh Dickinson Knights,NULL
88,Florida,Florida,Florida,NULL,Florida Gators,NULL
89,Florida A&M,Florida A&M,Florida A&M,NULL,Florida A&M Rattlers,NULL
90,Florida Atlantic,Florida Atlantic,Florida Atlantic,NULL,Florida Atlantic Owls,NULL
91,Florida Gulf Coast,Florida Gulf Coast,Florida Gulf Coast,NULL,Florida Gulf Coast Eagles,NULL
92,Florida St,Florida State,Florida State,NULL,Florida State Seminoles,NULL
93,Fordham,Fordham,Fordham,NULL,Fordham Rams,NULL
94,Fresno St,Fresno State,Fresno State,NULL,Fresno State Bulldogs,NULL
95,Furman,Furman,Furman,NULL,Furman Paladins,NULL
96,Gardner Webb,Gardner Webb,Gardner Webb,NULL,Gardner Webb Bulldogs,NULL
97,George Mason,George Mason,George Mason,NULL,George Mason Patriots,NULL
